iter	RMSE
0	7335.083363
1	7068.76883
2	6835.175951
3	6622.647933
4	6417.739273
5	6236.95285
6	6072.246626
7	5931.133905
8	5797.308469
9	5673.748738
10	5557.679161
11	5455.221748
12	5359.86789
13	5274.184576
14	5195.973151
15	5127.500232
16	5066.956462
17	5007.343867
18	4955.451353
19	4902.367379
20	4859.860294
21	4815.345973
22	4772.890817
23	4737.434425
24	4705.80338
25	4668.234975
26	4636.730142
27	4609.482875
28	4578.348568
29	4554.008579
30	4530.260069
31	4506.213747
32	4483.273596
33	4463.287519
34	4443.900852
35	4422.092194
36	4405.699392
37	4390.099957
38	4376.440512
39	4365.163316
40	4351.960269
41	4337.975674
42	4327.932654
43	4315.500064
44	4303.013819
45	4292.19896
46	4276.466333
47	4265.751216
48	4254.367884
49	4245.425187
50	4233.937841
51	4221.864359
52	4212.257614
53	4201.090044
54	4193.659273
55	4184.57363
56	4177.206259
57	4167.123866
58	4159.677767
59	4148.210096
60	4139.919266
61	4131.379218
62	4126.73757
63	4119.700649
64	4112.497178
65	4102.861443
66	4095.211883
67	4088.060114
68	4080.939292
69	4075.287577
70	4071.593561
71	4066.386212
72	4059.407191
73	4052.046122
74	4047.01905
75	4042.719104
76	4039.256579
77	4034.268346
78	4029.723627
79	4022.228478
80	4017.235813
81	4013.198003
82	4010.224163
83	4006.310469
84	4001.90083
85	3996.930242
86	3993.814249
87	3988.716055
88	3985.23442
89	3982.216767
90	3976.780007
91	3969.989186
92	3964.849068
93	3956.246992
94	3952.434213
95	3951.064449
96	3948.017665
97	3942.618123
98	3938.102864
99	3933.5398
100	3929.76532
101	3927.615847
102	3921.949587
103	3919.833961
104	3917.290172
105	3914.477851
106	3910.65264
107	3908.724431
108	3906.164146
109	3900.521459
110	3898.202108
111	3893.786262
112	3890.612799
113	3886.829795
114	3881.9763
115	3878.331068
116	3874.402349
117	3869.905747
118	3867.100704
119	3864.020429
120	3861.80493
121	3859.405682
122	3855.779755
123	3851.794962
124	3849.388807
125	3848.072919
126	3845.81701
127	3841.718568
128	3838.724529
129	3836.737231
130	3833.595736
131	3828.846099
132	3825.54844
133	3823.492871
134	3819.091197
135	3816.438758
136	3813.777217
137	3809.592838
138	3808.241222
139	3805.589172
140	3802.470108
141	3800.586601
142	3798.309326
143	3796.896755
144	3794.369538
145	3790.876857
146	3788.251041
147	3783.992122
148	3780.868057
149	3778.863808
150	3776.319824
151	3774.302383
152	3773.150004
153	3771.649312
154	3768.125928
155	3766.518762
156	3765.444262
157	3762.334708
158	3759.501523
159	3756.749025
160	3754.828854
161	3753.199901
162	3750.376244
163	3747.638475
164	3743.192662
165	3740.758194
166	3738.180288
167	3735.957109
168	3734.186177
169	3732.406318
170	3729.919305
171	3728.219355
172	3726.153322
173	3724.242159
174	3719.654527
175	3718.478385
176	3716.891737
177	3714.902027
178	3713.436725
179	3710.838638
180	3708.132003
181	3705.882283
182	3703.692025
183	3702.228631
184	3698.950699
185	3696.384573
186	3694.259545
187	3693.14909
188	3690.99053
189	3689.348489
190	3687.267973
191	3686.253076
192	3683.799579
193	3680.343904
194	3678.852227
195	3676.570411
196	3675.30531
197	3672.440245
198	3670.685142
199	3668.219482
200	3666.246846
201	3663.300615
202	3661.988951
203	3661.015789
204	3659.417799
205	3657.694256
206	3655.966839
207	3654.795205
208	3653.740031
209	3652.648489
210	3650.755498
211	3648.652656
212	3646.950733
213	3643.595714
214	3641.302512
215	3639.494564
216	3637.776087
217	3635.261359
218	3634.084952
219	3631.193309
220	3629.70165
221	3626.999539
222	3624.956684
223	3623.747363
224	3621.305247
225	3619.777034
226	3618.245728
227	3617.654126
228	3615.8352
229	3614.462975
230	3612.01747
231	3610.162693
232	3608.531741
233	3607.536721
234	3606.991751
235	3604.693563
236	3603.695217
237	3602.409733
238	3600.739952
239	3599.244332
240	3598.386047
241	3596.43015
242	3594.985205
243	3594.508717
244	3592.859417
245	3591.918701
246	3590.634165
247	3589.57731
248	3587.506973
249	3585.363538
250	3584.587714
251	3583.913473
252	3582.273809
253	3580.787596
254	3579.528507
255	3578.679525
256	3576.75871
257	3574.915709
258	3573.278181
259	3571.940801
260	3571.030682
261	3570.448537
262	3569.371127
263	3568.392362
264	3566.972192
265	3564.872456
266	3563.869972
267	3563.219973
268	3562.893704
269	3561.615733
270	3559.449387
271	3557.736248
272	3555.980008
273	3555.328562
274	3554.113233
275	3552.912697
276	3551.065322
277	3549.699478
278	3549.113483
279	3547.896535
280	3546.888781
281	3545.205925
282	3544.097633
283	3543.277325
284	3542.46241
285	3540.979341
286	3539.507389
287	3538.295066
288	3536.753982
289	3535.888618
290	3535.219288
291	3534.572068
292	3533.189266
293	3532.105196
294	3531.273756
295	3530.220427
296	3529.51254
297	3528.881491
298	3527.787307
299	3526.548547
300	3525.371242
301	3524.778567
302	3523.569562
303	3522.595241
304	3521.607331
305	3521.073575
306	3520.005612
307	3518.688768
308	3517.527487
309	3516.321773
310	3515.406591
311	3514.727357
312	3513.74054
313	3512.491716
314	3511.547251
315	3510.364115
316	3509.975224
317	3508.714246
318	3507.697857
319	3506.822532
320	3505.957158
321	3504.656894
322	3503.985638
323	3503.233075
324	3502.477867
325	3501.320664
326	3500.860508
327	3500.257085
328	3499.39974
329	3498.57131
330	3497.971036
331	3497.181275
332	3496.320283
333	3495.04694
334	3494.328341
335	3493.02023
336	3492.333477
337	3490.70579
338	3489.366321
339	3488.44063
340	3487.551059
341	3486.628754
342	3485.449872
343	3484.654151
344	3484.100096
345	3483.371579
346	3482.578515
347	3482.038898
348	3481.359522
349	3480.721605
350	3480.054992
351	3479.210706
352	3478.368367
353	3477.636495
354	3476.484568
355	3475.781157
356	3475.080079
357	3473.830485
358	3473.501934
359	3472.048646
360	3471.610265
361	3470.802004
362	3470.425988
363	3469.429725
364	3468.101512
365	3467.492025
366	3466.811086
367	3466.101965
368	3465.592222
369	3464.62343
370	3464.395862
371	3463.99588
372	3462.955789
373	3462.428798
374	3461.60904
375	3460.670886
376	3459.761155
377	3459.18615
378	3457.821758
379	3457.235498
380	3456.658985
381	3455.528435
382	3454.486532
383	3453.895138
384	3453.067611
385	3451.477548
386	3451.057934
387	3450.549114
388	3449.377194
389	3448.702933
390	3447.682657
391	3446.303901
392	3445.36124
393	3444.42191
394	3443.689797
395	3442.200593
396	3441.188982
397	3440.2277
398	3439.285204
399	3438.33903
400	3437.685471
401	3437.141097
402	3436.828414
403	3436.555907
404	3435.886823
405	3435.371321
406	3435.039276
407	3434.016096
408	3433.65037
409	3433.008717
410	3432.510287
411	3431.603726
412	3431.188026
413	3430.340513
414	3429.573995
415	3428.732146
416	3428.442742
417	3427.768757
418	3427.040272
419	3426.476045
420	3425.662981
421	3425.146745
422	3424.717843
423	3424.267765
424	3423.631188
425	3423.11084
426	3422.704929
427	3421.753683
428	3421.316169
429	3420.521381
430	3419.043846
431	3418.41329
432	3417.31618
433	3416.53283
434	3416.020889
435	3415.51023
436	3415.083427
437	3414.936672
438	3414.659701
439	3413.951974
440	3413.312752
441	3412.757102
442	3411.882698
443	3411.258465
444	3410.80411
445	3410.220107
446	3409.943864
447	3409.125507
448	3408.511614
449	3407.523316
450	3406.93466
451	3406.324403
452	3405.551653
453	3405.179222
454	3404.450059
455	3403.893517
456	3403.081302
457	3402.759518
458	3402.319614
459	3401.889693
460	3400.794363
461	3400.37236
462	3399.708343
463	3399.266538
464	3398.935771
465	3398.530853
466	3398.148886
467	3397.888378
468	3396.671493
469	3396.428008
470	3396.199669
471	3395.770224
472	3395.253489
473	3394.799081
474	3394.522051
475	3394.01821
476	3393.369246
477	3393.007165
478	3392.393722
479	3391.94486
480	3391.363288
481	3390.277702
482	3389.712339
483	3389.376213
484	3388.652452
485	3388.060543
486	3387.48984
487	3386.850025
488	3386.04828
489	3385.484115
490	3385.1524
491	3384.871468
492	3384.383659
493	3384.167288
494	3383.902992
495	3383.431524
496	3382.846577
497	3382.423763
498	3382.081151
499	3381.592548
500	3381.043837
501	3380.707217
502	3380.129485
503	3379.447309
504	3379.266411
505	3378.857711
506	3378.289401
507	3377.774898
508	3376.910572
509	3376.594063
510	3376.165643
511	3375.836462
512	3374.982265
513	3374.193288
514	3373.78495
515	3373.372964
516	3372.804698
517	3372.364631
518	3372.087193
519	3371.699087
520	3371.115216
521	3370.773276
522	3370.26978
523	3370.095974
524	3369.820749
525	3369.326857
526	3368.898517
527	3368.555781
528	3367.973216
529	3367.331635
530	3366.959744
531	3366.567181
532	3365.93514
533	3365.587064
534	3365.043062
535	3364.381092
536	3364.08176
537	3363.858673
538	3363.589081
539	3363.396876
540	3362.984921
541	3362.6685
542	3362.420169
543	3362.246105
544	3361.389135
545	3360.957831
546	3360.428687
547	3360.168907
548	3359.524257
549	3358.515671
550	3358.327463
551	3358.038114
552	3357.509648
553	3357.284175
554	3356.898858
555	3356.538156
556	3356.176625
557	3355.436049
558	3354.836238
559	3354.567887
560	3354.125078
561	3353.699295
562	3353.453038
563	3352.930869
564	3352.48326
565	3352.134136
566	3351.856897
567	3351.397992
568	3351.057303
569	3350.518049
570	3350.113737
571	3349.537015
572	3349.207277
573	3348.858384
574	3348.330872
575	3347.855511
576	3347.529887
577	3347.190985
578	3346.750849
579	3346.386508
580	3346.040472
581	3345.718735
582	3345.399792
583	3344.797298
584	3344.517745
585	3344.318493
586	3343.841084
587	3343.492774
588	3342.983926
589	3342.394045
590	3341.737606
591	3341.399358
592	3341.118513
593	3340.78451
594	3340.365874
595	3340.201817
596	3339.674766
597	3339.413586
598	3339.166752
599	3338.75609
600	3338.517097
601	3338.180615
602	3337.896792
603	3337.617953
604	3337.096377
605	3336.744885
