model,mileage,vol_engine,fuel,price(usd)
4,268500,2148,1,962.5
6,276000,1149,2,400.0
3,100000,1364,2,8750.0
0,218000,1600,2,2225.0
24,95278,1591,2,14000.0
22,296968,1995,1,1962.5
14,150000,1956,1,21225.0
5,212000,1582,1,4500.0
10,102081,1084,0,14225.0
12,126115,1395,2,17975.0
17,160000,1598,2,6249.75
12,227200,1598,1,4725.0
10,121694,1242,2,5625.0
20,223089,1997,2,7450.0
1,144000,1968,1,19475.0
14,192000,1956,1,5749.75
14,93000,1956,1,7750.0
8,68065,1991,2,33725.0
6,124871,1461,1,11475.0
3,227839,1598,2,2000.0
16,62100,1197,2,16475.0
19,82000,1390,2,17225.0
11,173000,1498,1,9749.75
13,154000,1396,2,8499.75
3,163000,1364,0,8475.0
1,227000,1781,2,6725.0
7,118000,1398,2,8375.0
19,287000,1968,1,4725.0
11,9980,1498,1,16250.0
2,283000,2496,1,1975.0
12,38000,999,2,17625.0
18,277000,1598,2,875.0
1,312000,1968,1,3625.0
19,178000,1984,2,28750.0
5,184600,1396,2,3475.0
8,66000,1950,1,32287.5
12,202500,1595,2,4450.0
0,200000,1390,2,6249.75
6,168000,1149,2,2475.0
11,191632,1597,1,5975.0
12,176000,1390,2,1200.0
24,173900,1998,1,11249.75
7,118000,998,2,2625.0
7,49500,1398,2,8475.0
7,150200,1364,2,2975.0
4,37862,1991,2,34750.0
14,178000,1956,1,16962.5
11,167000,1596,2,3249.75
10,86000,1242,2,5247.5
7,148000,1229,0,4624.75
9,227154,1397,2,425.0
24,84600,1685,1,21225.0
24,158000,1975,2,7725.0
13,40166,1368,2,15975.0
3,200000,1686,1,6475.0
19,250000,1781,2,2225.0
15,155123,1798,2,12375.0
18,88474,1498,2,21225.0
24,58000,1591,2,24975.0
0,159000,1968,1,15375.0
11,137621,1497,1,16975.0
20,152640,1598,2,7725.0
17,128000,1997,1,18725.0
1,246090,1798,2,10500.0
16,5,1332,2,25375.0
12,183762,1968,1,16725.0
17,164714,1997,1,17475.0
1,134430,1968,1,32475.0
11,169614,1499,1,10000.0
21,131240,1596,2,3725.0
18,84000,1598,1,12247.5
5,115778,1368,2,12475.0
1,283700,1896,1,3475.0
12,185517,1968,1,7475.0
5,53000,1591,2,14675.0
11,199000,1596,2,3725.0
10,143000,1242,2,5225.0
3,116000,1598,2,6675.0
11,198000,1596,2,2100.0
3,181688,1598,2,3725.0
4,252000,2148,1,3725.0
22,280000,1995,1,4450.0
13,115415,1396,2,4975.0
6,76000,898,2,7975.0
1,149000,1984,2,5475.0
23,216000,1995,1,17475.0
12,245678,1968,1,4975.0
15,195000,1968,1,12225.0
9,196000,1390,2,3475.0
1,117000,1968,1,16000.0
18,204000,1598,1,6225.0
18,51756,1968,1,24225.0
12,168000,1390,2,1725.0
0,124387,1197,2,6375.0
18,176000,1595,0,3975.0
22,45690,1998,2,28225.0
20,215000,1994,1,5725.0
13,128000,1396,2,7125.0
2,127000,1968,1,31475.0
7,38000,1229,2,7875.0
12,36000,1984,2,21750.0
12,190000,1984,2,5535.0
8,227500,2685,1,4475.0
0,265373,1595,0,1950.0
19,218042,1798,2,7975.0
1,138000,1968,1,12975.0
0,148900,1798,2,9725.0
9,7,999,2,23225.0
1,152956,1968,1,23249.75
3,196000,1686,1,5425.0
18,100000,1395,2,15450.0
3,39800,1199,2,17225.0
3,150000,1400,2,8975.0
15,62951,1498,2,19725.0
24,93000,1591,2,17499.75
24,119000,1995,1,13475.0
4,79000,1991,2,27500.0
22,199000,1995,1,18225.0
19,212000,1896,1,2625.0
12,193015,999,2,13200.0
11,185000,1596,2,3475.0
13,33019,1368,2,18625.0
8,282000,2143,1,10625.0
23,46500,1995,1,37475.0
13,157000,1582,1,8225.0
24,2,1598,2,28200.0
20,147500,1461,1,9975.0
12,45282,1390,2,17250.0
22,236000,1995,2,5975.0
11,107194,1499,1,14475.0
24,203000,1975,2,5350.0
10,171600,1299,2,1999.75
3,217648,1686,1,3400.0
6,39000,898,2,9475.0
6,168324,1461,1,8950.0
14,213000,1956,1,15225.0
20,177000,1598,2,7999.75
18,162389,1598,1,14449.75
22,170783,1995,2,7500.0
12,98417,999,2,16975.0
3,6,1199,2,20250.0
17,174000,1999,2,5475.0
4,198000,2143,1,10325.0
14,280000,1956,1,5975.0
21,197000,1995,2,4950.0
0,140000,1390,2,6675.0
24,77900,1685,1,18475.0
7,256182,1248,1,2375.0
2,260000,1968,1,18950.0
23,135000,1995,1,20725.0
23,237000,1995,1,13725.0
22,197000,1995,1,6725.0
10,123000,1299,2,2175.0
1,220000,1984,2,4875.0
8,93584,1950,1,30750.0
0,210800,1595,2,4475.0
23,280000,1995,1,15700.0
1,57000,1984,2,34725.0
5,5,1482,2,23134.5
12,227000,1595,0,725.0
23,210000,1995,1,19249.75
17,189823,2261,2,6350.0
18,163955,1968,1,15900.0
6,110000,1149,2,3799.75
17,251570,1997,1,4475.0
23,226980,2000,1,15475.0
1,255000,2698,1,7225.0
1,224750,1781,2,5249.75
5,89319,1396,2,9975.0
16,156000,1598,2,2475.0
16,201000,1598,0,5500.0
5,228944,1582,1,3725.0
18,253857,1598,2,3625.0
10,146000,998,2,6725.0
22,40900,2000,2,29225.0
20,107152,1997,2,11499.75
16,6510,1332,2,17475.0
3,166000,1364,2,7975.0
16,60069,1598,2,14975.0
1,101500,1968,1,17225.0
3,119000,1364,2,8225.0
21,180000,1599,2,3975.0
11,1,999,2,22475.0
7,195000,1229,2,3625.0
23,272333,2497,2,6375.0
24,191111,1685,1,10725.0
2,250000,1968,1,5725.0
22,85230,1998,2,34975.0
2,150000,1968,1,20602.5
12,44000,1968,1,17499.75
0,64000,1498,2,25250.0
6,100000,1149,2,1225.0
1,198420,1968,1,8000.0
4,194000,1998,2,1475.0
18,222000,1968,1,10475.0
18,185000,1395,2,14475.0
10,125000,1242,2,2249.75
8,293720,2143,1,8997.5
21,139000,1598,2,10625.0
15,228000,1984,2,4075.0
18,220000,1984,2,15725.0
12,72100,1395,2,18749.75
9,167000,999,2,7225.0
21,23000,1998,2,21750.0
1,211300,1781,2,2100.0
20,151507,1461,1,14975.0
13,12085,1498,2,18250.0
17,188600,1596,2,7249.75
3,277000,1598,2,2249.75
1,84000,1984,2,7000.0
24,178000,1995,1,15725.0
11,197000,1498,1,8725.0
0,89520,1500,2,21225.0
17,168000,1498,1,12375.0
16,200000,1461,1,2400.0
15,62000,1984,2,21475.0
15,187600,1598,2,2999.75
2,154000,1968,1,19725.0
12,263637,1390,2,1425.0
18,270000,1896,1,4975.0
1,227600,1798,2,8375.0
7,43250,1229,2,9725.0
1,278000,1968,1,8725.0
12,107000,1598,1,13249.75
16,125300,1397,2,5950.0
12,295000,1896,1,1175.0
3,98000,1598,1,11125.0
20,17000,1997,2,23725.0
23,160360,1995,1,14625.0
11,139000,999,2,8225.0
3,177100,1364,2,2625.0
16,26700,1461,1,14475.0
21,143500,1995,1,17475.0
1,199000,1968,1,24975.0
2,144000,1984,2,17975.0
24,224000,1991,1,5475.0
24,67818,1591,2,18725.0
19,149563,1798,2,21225.0
16,190000,1461,1,3975.0
5,137000,1582,1,9975.0
11,175683,1997,1,12475.0
19,134254,1968,1,22475.0
9,131000,1200,2,8725.0
3,130000,1364,2,3250.0
24,165747,1591,0,11475.0
18,17488,1498,2,31247.5
19,25700,1798,2,30000.0
22,270000,1995,0,4500.0
16,179000,1598,2,5749.75
2,262000,2393,0,6625.0
22,181000,2000,2,5475.0
0,169000,1390,2,6425.0
11,185000,1498,1,7475.0
7,129500,1398,2,9975.0
20,189000,1997,2,7475.0
2,231000,1968,1,5500.0
12,217000,1968,1,14250.0
2,172032,1968,1,22475.0
19,19800,1968,1,24475.0
12,97138,1395,2,14975.0
1,211000,1984,2,2050.0
17,315000,1997,1,4975.0
24,182500,1975,0,8725.0
3,135000,1598,1,12475.0
2,92795,1968,1,21875.0
11,172000,1498,1,10225.0
24,7,1591,2,34776.0
9,106001,999,2,11975.0
11,172000,1596,2,3650.0
22,248385,2171,0,5225.0
20,61200,1618,2,22475.0
16,119025,1598,1,16725.0
17,220000,2179,1,6975.0
17,140122,1999,2,5250.0
5,225000,1396,2,3125.0
5,221604,1991,1,4875.0
7,170000,1229,2,3475.0
22,34638,1499,2,25975.0
0,176257,1390,2,7499.75
10,256509,1498,1,4975.0
10,147258,1388,0,5500.0
9,53590,999,2,13725.0
21,196779,1995,2,5275.0
14,292000,1998,0,10000.0
2,241000,1968,1,22475.0
20,208650,1997,2,6450.0
10,9800,998,2,14225.0
