model,mileage,vol_engine,fuel,price(usd)
c-klasa,268500,2148,1,962.5
clio,276000,1149,2,400.0
astra,100000,1364,2,8750.0
a3,218000,1600,2,2225.0
sportage,95278,1591,2,14000.0
seria-3,296968,1995,1,1962.5
insignia,150000,1956,1,21225.0
ceed,212000,1582,1,4500.0
fiesta,102081,1084,0,14225.0
golf,126115,1395,2,17975.0
mondeo,160000,1598,2,6249.75
golf,227200,1598,1,4725.0
fiesta,121694,1242,2,5625.0
qashqai,223089,1997,2,7450.0
a4,144000,1968,1,19475.0
insignia,192000,1956,1,5749.75
insignia,93000,1956,1,7750.0
e-klasa,68065,1991,2,33725.0
clio,124871,1461,1,11475.0
astra,227839,1598,2,2000.0
megane,62100,1197,2,16475.0
passat,82000,1390,2,17225.0
focus,173000,1498,1,9749.75
i30,154000,1396,2,8499.75
astra,163000,1364,0,8475.0
a4,227000,1781,2,6725.0
corsa,118000,1398,2,8375.0
passat,287000,1968,1,4725.0
focus,9980,1498,1,16250.0
a6,283000,2496,1,1975.0
golf,38000,999,2,17625.0
octavia,277000,1598,2,875.0
a4,312000,1968,1,3625.0
passat,178000,1984,2,28750.0
ceed,184600,1396,2,3475.0
e-klasa,66000,1950,1,32287.5
golf,202500,1595,2,4450.0
a3,200000,1390,2,6249.75
clio,168000,1149,2,2475.0
focus,191632,1597,1,5975.0
golf,176000,1390,2,1200.0
sportage,173900,1998,1,11249.75
corsa,118000,998,2,2625.0
corsa,49500,1398,2,8475.0
corsa,150200,1364,2,2975.0
c-klasa,37862,1991,2,34750.0
insignia,178000,1956,1,16962.5
focus,167000,1596,2,3249.75
fiesta,86000,1242,2,5247.5
corsa,148000,1229,0,4624.75
fabia,227154,1397,2,425.0
sportage,84600,1685,1,21225.0
sportage,158000,1975,2,7725.0
i30,40166,1368,2,15975.0
astra,200000,1686,1,6475.0
passat,250000,1781,2,2225.0
leon,155123,1798,2,12375.0
octavia,88474,1498,2,21225.0
sportage,58000,1591,2,24975.0
a3,159000,1968,1,15375.0
focus,137621,1497,1,16975.0
qashqai,152640,1598,2,7725.0
mondeo,128000,1997,1,18725.0
a4,246090,1798,2,10500.0
megane,5,1332,2,25375.0
golf,183762,1968,1,16725.0
mondeo,164714,1997,1,17475.0
a4,134430,1968,1,32475.0
focus,169614,1499,1,10000.0
seria-1,131240,1596,2,3725.0
octavia,84000,1598,1,12247.5
ceed,115778,1368,2,12475.0
a4,283700,1896,1,3475.0
golf,185517,1968,1,7475.0
ceed,53000,1591,2,14675.0
focus,199000,1596,2,3725.0
fiesta,143000,1242,2,5225.0
astra,116000,1598,2,6675.0
focus,198000,1596,2,2100.0
astra,181688,1598,2,3725.0
